node1,node2,label
188,389,1
188,631,1
188,666,1
237,405,1
237,745,1
237,690,1
209,499,1
123,337,1
116,431,1
231,750,1
231,292,1
231,400,1
231,686,1
231,617,1
276,780,1
188,439,1
188,780,1
188,708,1
208,483,1
208,529,1
208,774,1
208,759,1
58,598,1
209,654,1
54,303,1
223,303,1
179,303,1
215,474,1
215,451,1
215,289,1
215,467,1
215,583,1
276,386,1
209,537,1
105,598,1
99,675,1
47,622,1
280,763,1
47,787,1
58,701,1
58,289,1
78,751,1
45,449,1
56,398,1
121,660,1
121,780,1
64,449,1
58,629,1
47,289,1
209,460,1
45,469,1
105,292,1
29,544,1
29,483,1
29,531,1
29,407,1
29,474,1
186,570,1
45,456,1
280,440,1
7,640,1
80,359,1
105,341,1
104,304,1
58,599,1
47,295,1
205,284,1
205,431,1
209,763,1
78,779,1
254,462,1
254,742,1
254,290,1
254,308,1
58,537,1
45,598,1
45,339,1
58,423,1
165,465,1
58,511,1
209,410,1
140,307,1
78,608,1
78,494,1
78,426,1
78,483,1
78,516,1
268,781,1
58,742,1
17,503,1
200,527,1
169,527,1
58,781,1
53,741,1
105,391,1
209,341,1
58,694,1
224,297,1
58,467,1
0,483,1
58,622,1
209,724,1
58,777,1
258,763,1
133,375,1
280,535,1
105,485,1
280,575,1
209,290,1
209,453,1
209,379,1
239,413,1
198,766,1
198,598,1
198,366,1
29,766,1
29,598,1
29,366,1
37,347,1
105,642,1
209,337,1
45,722,1
45,547,1
45,519,1
47,785,1
56,734,1
45,686,1
45,617,1
45,618,1
45,400,1
45,498,1
277,686,1
277,617,1
277,618,1
277,292,1
277,293,1
277,519,1
277,400,1
277,498,1
240,442,1
240,313,1
280,401,1
58,439,1
143,527,1
267,295,1
267,372,1
174,742,1
174,338,1
174,574,1
176,527,1
39,642,1
39,572,1
39,751,1
39,455,1
39,423,1
113,679,1
113,379,1
30,772,1
159,297,1
192,728,1
78,472,1
256,786,1
209,493,1
209,643,1
209,701,1
209,743,1
209,296,1
156,654,1
156,690,1
51,474,1
31,703,1
97,714,1
24,441,1
24,450,1
270,785,1
174,462,1
42,781,1
58,366,1
58,339,1
58,551,1
58,750,1
58,617,1
58,377,1
114,781,1
132,671,1
53,290,1
53,341,1
53,446,1
53,763,1
117,534,1
280,793,1
280,564,1
280,583,1
280,792,1
280,588,1
81,307,1
139,548,1
121,339,1
83,711,1
216,538,1
140,547,1
248,610,1
64,551,1
45,614,1
45,596,1
56,636,1
47,574,1
47,410,1
47,683,1
47,481,1
47,388,1
47,367,1
47,435,1
47,798,1
47,576,1
263,289,1
89,307,1
95,289,1
39,602,1
113,327,1
78,650,1
78,725,1
78,432,1
78,465,1
239,763,1
239,618,1
239,341,1
209,577,1
209,770,1
209,592,1
209,618,1
209,471,1
156,712,1
156,292,1
51,445,1
120,676,1
151,399,1
97,659,1
74,347,1
124,341,1
174,605,1
42,742,1
58,695,1
58,297,1
58,405,1
58,390,1
58,485,1
58,587,1
58,667,1
105,315,1
105,423,1
105,679,1
105,461,1
105,498,1
53,717,1
280,395,1
280,671,1
280,435,1
280,506,1
280,566,1
280,653,1
280,577,1
280,481,1
280,537,1
280,695,1
48,297,1
210,622,1
121,738,1
121,695,1
121,587,1
121,301,1
83,538,1
9,360,1
29,414,1
248,465,1
248,439,1
248,781,1
64,462,1
196,640,1
45,603,1
45,353,1
45,474,1
47,419,1
47,795,1
47,297,1
47,587,1
47,687,1
147,488,1
136,554,1
271,729,1
125,451,1
125,341,1
209,773,1
95,598,1
78,285,1
239,616,1
209,738,1
209,574,1
280,341,1
280,289,1
280,286,1
280,520,1
105,783,1
45,726,1
45,500,1
47,684,1
47,331,1
47,392,1
209,298,1
209,543,1
209,435,1
209,432,1
209,549,1
209,725,1
102,366,1
282,517,1
20,366,1
264,366,1
58,400,1
58,410,1
58,541,1
58,792,1
58,432,1
105,594,1
105,386,1
105,290,1
105,591,1
105,337,1
105,519,1
38,644,1
236,438,1
83,729,1
83,787,1
129,399,1
140,519,1
148,695,1
58,538,1
43,339,1
45,558,1
267,360,1
105,441,1
207,701,1
239,383,1
248,364,1
196,688,1
181,304,1
260,528,1
9,395,1
78,757,1
105,314,1
280,798,1
193,741,1
135,459,1
172,378,1
207,794,1
260,621,1
260,689,1
260,430,1
260,397,1
260,384,1
260,508,1
238,588,1
238,458,1
238,486,1
238,649,1
207,707,1
207,515,1
207,373,1
260,515,1
157,714,1
45,791,1
105,719,1
105,526,1
280,511,1
86,459,1
120,549,1
267,697,1
58,690,1
121,698,1
106,783,1
53,399,1
53,642,1
113,370,1
47,638,1
83,746,1
47,353,1
51,728,1
260,442,1
209,785,1
51,528,1
82,322,1
45,406,1
86,453,1
259,773,1
64,756,1
132,729,1
207,538,1
239,777,1
121,701,1
9,648,1
190,316,1
166,310,1
280,629,1
80,454,1
57,361,1
106,717,1
238,584,1
154,447,1
196,442,1
84,470,1
105,759,1
249,727,1
39,364,1
5,715,1
242,491,1
88,329,1
280,737,1
105,670,1
134,355,1
280,353,1
178,330,1
201,475,1
51,729,1
45,368,1
153,424,1
151,577,1
225,560,1
45,583,1
108,752,1
218,773,1
45,592,1
47,335,1
45,613,1
280,475,1
207,465,1
34,458,1
48,705,1
280,679,1
216,456,1
45,594,1
280,530,1
280,340,1
78,498,1
245,303,1
48,652,1
121,715,1
207,434,1
125,778,1
91,627,1
280,360,1
83,539,1
280,606,1
35,339,1
45,566,1
202,688,1
45,479,1
159,499,1
45,436,1
105,683,1
53,288,1
105,505,1
78,796,1
167,416,1
58,509,1
22,497,1
33,522,1
121,646,1
100,292,1
60,360,1
282,317,1
253,399,1
78,709,1
58,799,1
58,523,1
132,567,1
280,574,1
4,587,1
121,415,1
280,794,1
47,499,1
280,344,1
209,545,1
44,640,1
110,594,1
175,594,1
141,501,1
157,288,1
207,733,1
83,605,1
158,701,1
190,342,1
78,434,1
177,561,1
36,678,1
105,559,1
105,344,1
207,352,1
201,738,1
204,784,1
121,469,1
210,354,1
46,679,1
105,605,1
172,539,1
80,478,1
168,738,1
51,437,1
78,627,1
64,434,1
116,744,1
58,466,1
45,756,1
86,396,1
121,379,1
280,717,1
219,350,1
111,683,1
172,314,1
253,485,1
51,372,1
121,417,1
238,399,1
250,561,1
196,303,1
150,501,1
51,501,1
45,422,1
280,304,1
83,618,1
151,442,1
254,459,1
159,656,1
246,380,1
280,611,1
105,339,1
170,761,1
170,747,1
170,322,1
2,624,1
77,587,1
51,321,1
9,477,1
121,794,1
116,360,1
83,571,1
126,339,1
58,639,1
58,744,1
75,669,1
182,559,1
271,681,1
261,697,1
125,392,1
172,589,1
172,715,1
13,398,1
177,412,1
177,579,1
63,506,1
70,314,1
153,300,1
58,735,1
251,467,1
280,425,1
280,593,1
280,605,1
280,364,1
115,502,1
207,736,1
235,740,1
221,406,1
252,785,1
93,419,1
6,798,1
35,660,1
45,585,1
45,780,1
47,475,1
265,613,1
59,482,1
280,501,1
254,456,1
47,323,1
47,577,1
45,746,1
196,506,1
196,782,1
64,433,1
9,644,1
83,318,1
83,434,1
162,446,1
162,639,1
213,462,1
207,319,1
207,356,1
65,617,1
280,390,1
280,724,1
280,333,1
280,334,1
280,764,1
146,393,1
19,710,1
273,353,1
224,775,1
105,789,1
132,353,1
58,452,1
58,720,1
11,706,1
94,625,1
71,755,1
141,540,1
49,716,1
193,521,1
191,365,1
172,361,1
172,520,1
238,352,1
218,326,1
1,733,1
8,644,1
26,333,1
187,546,1
95,583,1
176,633,1
176,628,1
112,629,1
39,756,1
106,561,1
106,718,1
106,314,1
14,629,1
182,314,1
113,318,1
238,308,1
243,306,1
172,568,1
161,359,1
78,492,1
78,795,1
78,763,1
227,322,1
23,615,1
156,507,1
244,416,1
244,586,1
51,533,1
51,669,1
181,557,1
181,696,1
181,663,1
175,375,1
157,660,1
282,650,1
164,434,1
164,579,1
151,352,1
149,349,1
74,296,1
74,794,1
57,404,1
57,500,1
86,340,1
86,370,1
214,577,1
214,730,1
80,777,1
80,378,1
16,532,1
141,347,1
155,497,1
107,717,1
94,328,1
84,319,1
153,623,1
68,587,1
42,731,1
42,715,1
58,671,1
58,399,1
58,475,1
58,605,1
58,561,1
58,758,1
58,785,1
58,616,1
58,679,1
58,308,1
58,322,1
58,569,1
132,668,1
105,405,1
105,443,1
105,797,1
105,596,1
53,723,1
53,687,1
53,712,1
53,737,1
53,355,1
53,550,1
53,524,1
