node1,node2,label
188,389,1
188,631,1
188,666,1
237,405,1
237,745,1
237,690,1
209,499,1
116,431,1
262,750,1
262,292,1
262,428,1
262,626,1
262,400,1
262,686,1
262,617,1
231,750,1
231,292,1
231,428,1
231,626,1
231,400,1
231,686,1
231,617,1
189,581,1
189,512,1
276,512,1
276,780,1
188,439,1
188,780,1
188,708,1
208,483,1
208,529,1
208,774,1
208,525,1
208,759,1
209,654,1
179,303,1
79,694,1
79,682,1
79,591,1
79,753,1
215,474,1
215,451,1
215,382,1
215,289,1
215,467,1
215,583,1
39,429,1
276,386,1
276,382,1
209,537,1
53,476,1
105,598,1
99,675,1
209,556,1
47,622,1
280,763,1
47,787,1
45,449,1
56,398,1
121,660,1
121,780,1
105,619,1
64,449,1
47,289,1
105,760,1
209,460,1
45,469,1
105,292,1
39,305,1
83,387,1
199,379,1
45,456,1
280,440,1
7,640,1
80,359,1
105,341,1
47,295,1
205,284,1
205,431,1
209,763,1
257,527,1
254,462,1
254,753,1
254,742,1
254,290,1
254,308,1
55,657,1
55,767,1
45,598,1
45,339,1
122,580,1
59,476,1
209,410,1
140,307,1
268,781,1
17,503,1
200,527,1
169,527,1
53,741,1
105,391,1
209,341,1
224,297,1
0,483,1
209,724,1
258,763,1
173,375,1
280,535,1
105,485,1
280,575,1
209,290,1
209,453,1
209,379,1
239,413,1
198,766,1
198,598,1
198,366,1
105,642,1
209,337,1
45,722,1
45,547,1
209,680,1
45,357,1
45,519,1
10,551,1
47,785,1
56,734,1
45,686,1
45,617,1
45,618,1
45,428,1
45,626,1
45,400,1
45,498,1
240,442,1
240,313,1
249,345,1
280,401,1
47,374,1
267,295,1
267,372,1
28,513,1
174,742,1
174,338,1
174,574,1
95,790,1
176,527,1
39,642,1
39,572,1
39,751,1
39,455,1
39,423,1
222,647,1
222,427,1
222,409,1
222,385,1
222,580,1
222,577,1
222,456,1
222,747,1
222,583,1
222,463,1
222,674,1
113,679,1
113,379,1
30,772,1
159,297,1
192,728,1
209,493,1
209,643,1
209,760,1
209,701,1
209,743,1
209,739,1
209,573,1
209,296,1
156,654,1
156,556,1
156,690,1
51,691,1
51,474,1
257,787,1
257,392,1
257,506,1
89,496,1
31,703,1
270,785,1
174,462,1
174,753,1
42,781,1
114,781,1
132,671,1
105,429,1
53,290,1
53,341,1
53,446,1
53,763,1
117,534,1
280,793,1
280,564,1
280,457,1
280,583,1
280,792,1
280,448,1
280,749,1
280,588,1
5,421,1
96,504,1
81,307,1
266,665,1
121,339,1
55,794,1
55,451,1
27,771,1
27,721,1
83,711,1
216,538,1
140,547,1
211,549,1
248,680,1
248,610,1
64,551,1
45,749,1
45,771,1
45,614,1
45,596,1
56,636,1
47,574,1
47,580,1
47,410,1
47,683,1
47,481,1
47,388,1
47,367,1
47,480,1
47,435,1
47,798,1
47,576,1
47,699,1
220,513,1
254,305,1
263,289,1
119,489,1
89,307,1
95,289,1
32,626,1
39,768,1
39,602,1
279,309,1
222,620,1
113,327,1
159,595,1
203,749,1
239,763,1
239,618,1
239,341,1
209,577,1
209,770,1
209,592,1
209,618,1
209,471,1
156,712,1
156,578,1
156,292,1
51,445,1
25,771,1
257,432,1
257,612,1
120,676,1
151,399,1
74,347,1
174,605,1
42,742,1
105,382,1
105,345,1
105,315,1
105,423,1
105,634,1
105,679,1
105,461,1
105,553,1
105,498,1
53,717,1
280,395,1
280,671,1
280,435,1
280,325,1
280,305,1
280,506,1
280,566,1
280,653,1
280,577,1
280,481,1
280,537,1
280,695,1
280,645,1
48,297,1
118,304,1
127,456,1
199,622,1
121,771,1
121,738,1
121,695,1
121,587,1
121,301,1
55,587,1
55,606,1
55,314,1
27,382,1
83,538,1
140,513,1
228,771,1
248,465,1
248,439,1
248,781,1
64,462,1
196,640,1
45,603,1
45,353,1
45,474,1
45,371,1
56,739,1
47,419,1
47,382,1
47,795,1
47,297,1
47,587,1
47,687,1
47,512,1
147,429,1
147,488,1
119,476,1
119,713,1
119,741,1
119,753,1
119,742,1
271,729,1
125,451,1
125,341,1
209,773,1
95,598,1
39,480,1
239,616,1
209,738,1
209,574,1
280,341,1
280,289,1
280,286,1
280,525,1
280,520,1
280,661,1
90,734,1
105,783,1
45,512,1
45,726,1
45,500,1
47,664,1
47,684,1
47,331,1
47,771,1
47,392,1
209,298,1
209,543,1
209,435,1
209,432,1
209,549,1
209,429,1
209,725,1
102,366,1
257,677,1
257,600,1
257,517,1
282,517,1
20,366,1
257,287,1
255,299,1
105,594,1
105,386,1
105,290,1
105,591,1
105,337,1
105,519,1
105,369,1
217,635,1
38,644,1
236,438,1
83,729,1
83,787,1
129,399,1
140,519,1
148,695,1
280,357,1
43,339,1
45,558,1
183,788,1
64,411,1
267,360,1
105,441,1
27,765,1
209,580,1
239,383,1
248,364,1
196,688,1
260,528,1
222,336,1
83,457,1
121,357,1
105,314,1
280,798,1
193,741,1
135,459,1
172,378,1
260,621,1
260,607,1
260,609,1
260,689,1
260,430,1
260,397,1
260,384,1
260,508,1
69,552,1
144,612,1
144,347,1
260,515,1
57,619,1
45,791,1
209,578,1
209,769,1
105,719,1
105,357,1
105,526,1
280,511,1
86,459,1
222,341,1
222,442,1
222,451,1
156,553,1
120,549,1
267,697,1
18,742,1
121,698,1
53,399,1
53,642,1
113,370,1
27,392,1
47,638,1
83,746,1
184,305,1
47,353,1
51,728,1
260,442,1
209,785,1
51,528,1
82,322,1
45,406,1
86,453,1
259,773,1
64,756,1
132,729,1
241,496,1
3,701,1
39,357,1
86,357,1
239,777,1
121,701,1
280,348,1
121,604,1
280,468,1
166,310,1
280,629,1
80,454,1
96,518,1
57,361,1
72,512,1
280,495,1
47,769,1
103,291,1
154,447,1
233,749,1
196,442,1
84,470,1
105,759,1
249,727,1
39,364,1
180,526,1
5,715,1
242,491,1
88,329,1
280,737,1
226,536,1
229,366,1
105,670,1
64,336,1
134,355,1
119,798,1
53,641,1
119,563,1
45,790,1
280,353,1
178,330,1
199,738,1
180,514,1
47,343,1
201,475,1
51,729,1
45,368,1
197,363,1
151,577,1
225,560,1
64,776,1
222,582,1
45,583,1
73,420,1
3,324,1
3,672,1
218,773,1
45,592,1
47,335,1
45,613,1
280,475,1
21,714,1
48,705,1
280,679,1
216,456,1
45,594,1
280,530,1
280,340,1
245,303,1
48,652,1
257,597,1
121,715,1
125,778,1
91,627,1
280,360,1
83,539,1
280,606,1
35,339,1
45,566,1
202,688,1
21,418,1
45,479,1
159,499,1
244,487,1
45,436,1
55,542,1
105,683,1
62,493,1
53,288,1
195,637,1
105,505,1
27,457,1
167,416,1
22,497,1
119,351,1
121,646,1
27,601,1
209,626,1
60,360,1
282,317,1
27,316,1
61,376,1
132,567,1
280,574,1
4,587,1
160,402,1
280,363,1
121,415,1
280,794,1
55,695,1
47,499,1
280,344,1
209,545,1
44,640,1
110,594,1
62,361,1
175,594,1
109,685,1
83,605,1
158,701,1
101,507,1
36,678,1
105,559,1
105,344,1
53,580,1
201,738,1
55,703,1
59,771,1
121,469,1
46,679,1
152,374,1
105,605,1
172,539,1
248,518,1
80,478,1
168,738,1
51,437,1
184,695,1
40,484,1
64,434,1
271,513,1
116,744,1
55,381,1
45,756,1
86,396,1
137,702,1
121,379,1
280,717,1
219,350,1
172,314,1
203,732,1
51,372,1
121,417,1
250,561,1
196,303,1
269,413,1
138,324,1
212,580,1
51,501,1
45,422,1
280,304,1
83,618,1
151,442,1
254,459,1
159,656,1
239,421,1
101,513,1
246,380,1
280,611,1
105,339,1
170,761,1
170,747,1
170,322,1
211,332,1
2,624,1
128,473,1
145,640,1
206,516,1
51,321,1
121,794,1
116,360,1
222,475,1
83,571,1
126,339,1
105,769,1
75,669,1
222,565,1
182,559,1
271,681,1
261,697,1
125,392,1
172,589,1
172,715,1
15,712,1
13,398,1
283,463,1
57,612,1
76,655,1
63,506,1
63,612,1
70,314,1
274,362,1
278,294,1
280,664,1
280,425,1
280,593,1
280,605,1
280,364,1
115,502,1
221,406,1
252,785,1
27,580,1
6,798,1
211,637,1
35,660,1
98,645,1
45,585,1
45,394,1
45,780,1
47,475,1
171,510,1
59,482,1
280,501,1
254,456,1
47,323,1
47,577,1
45,746,1
196,506,1
196,782,1
88,363,1
88,704,1
64,433,1
83,318,1
83,434,1
27,630,1
85,669,1
85,495,1
162,446,1
162,639,1
213,462,1
65,617,1
280,390,1
280,724,1
280,476,1
280,333,1
280,334,1
280,764,1
146,393,1
19,710,1
224,775,1
105,789,1
132,353,1
21,294,1
131,348,1
11,706,1
94,625,1
49,716,1
92,769,1
51,635,1
51,573,1
51,311,1
193,521,1
193,444,1
191,365,1
172,361,1
172,520,1
222,660,1
222,673,1
222,339,1
275,285,1
218,619,1
218,326,1
1,733,1
8,644,1
26,333,1
185,562,1
12,635,1
3,790,1
187,546,1
66,619,1
95,583,1
176,633,1
176,628,1
39,411,1
39,756,1
14,629,1
275,415,1
222,754,1
222,650,1
182,314,1
113,318,1
50,358,1
184,459,1
172,658,1
172,568,1
30,371,1
159,513,1
227,322,1
41,432,1
23,615,1
209,749,1
52,789,1
67,324,1
156,507,1
244,416,1
244,788,1
244,586,1
51,533,1
51,582,1
51,495,1
51,580,1
51,669,1
180,632,1
180,662,1
175,375,1
282,692,1
282,650,1
120,324,1
164,434,1
164,579,1
151,352,1
151,476,1
149,349,1
234,748,1
74,296,1
74,794,1
57,464,1
57,404,1
57,500,1
86,340,1
86,370,1
142,693,1
80,777,1
80,378,1
16,580,1
16,532,1
155,497,1
107,717,1
87,749,1
94,328,1
84,319,1
68,587,1
42,731,1
42,715,1
132,668,1
105,405,1
105,443,1
105,797,1
105,800,1
105,749,1
105,612,1
105,596,1
62,320,1
53,723,1
53,687,1
53,712,1
53,737,1
53,355,1
53,550,1
53,524,1
53,578,1
230,408,1
