node1,node2,label
188,631,1
188,666,1
237,405,1
237,690,1
209,499,1
281,294,1
123,337,1
78,429,1
116,431,1
262,750,1
262,292,1
262,428,1
262,626,1
262,400,1
262,686,1
231,750,1
231,292,1
231,428,1
231,626,1
231,400,1
231,686,1
189,581,1
189,512,1
276,512,1
276,780,1
188,439,1
188,780,1
188,708,1
208,529,1
208,774,1
208,525,1
208,759,1
58,598,1
54,303,1
223,303,1
179,303,1
79,694,1
79,682,1
79,753,1
215,474,1
215,382,1
215,289,1
215,467,1
215,583,1
39,429,1
276,386,1
276,382,1
209,537,1
53,476,1
105,598,1
58,495,1
99,675,1
209,556,1
47,622,1
280,763,1
47,787,1
58,771,1
58,289,1
78,751,1
45,449,1
121,780,1
105,619,1
64,449,1
58,629,1
58,749,1
47,289,1
105,760,1
45,469,1
105,292,1
29,765,1
29,448,1
29,382,1
29,407,1
29,474,1
39,305,1
83,387,1
199,379,1
58,382,1
280,440,1
7,640,1
80,359,1
105,341,1
58,305,1
58,556,1
58,599,1
47,295,1
205,284,1
205,431,1
209,763,1
257,527,1
254,753,1
254,742,1
254,290,1
254,308,1
55,657,1
58,537,1
45,598,1
45,339,1
58,423,1
165,465,1
122,580,1
59,476,1
209,410,1
140,307,1
78,608,1
78,426,1
78,516,1
58,742,1
17,503,1
58,580,1
200,527,1
169,527,1
53,741,1
105,391,1
209,341,1
58,694,1
224,297,1
58,467,1
58,622,1
209,724,1
58,777,1
258,763,1
133,375,1
173,375,1
280,535,1
209,290,1
209,453,1
209,379,1
239,413,1
198,766,1
198,598,1
198,366,1
29,766,1
29,598,1
29,366,1
37,347,1
78,762,1
209,337,1
45,722,1
45,547,1
209,680,1
45,357,1
45,519,1
10,551,1
47,785,1
45,686,1
45,618,1
45,428,1
45,626,1
45,400,1
45,498,1
277,686,1
277,618,1
277,292,1
277,293,1
277,428,1
277,626,1
277,519,1
277,400,1
277,498,1
240,313,1
249,345,1
280,401,1
58,439,1
47,374,1
143,527,1
267,295,1
267,372,1
28,513,1
174,742,1
174,338,1
174,574,1
95,790,1
176,527,1
39,751,1
39,423,1
222,647,1
222,427,1
222,385,1
222,580,1
222,577,1
222,747,1
222,583,1
222,463,1
222,674,1
113,679,1
113,379,1
30,772,1
159,297,1
192,728,1
78,472,1
78,699,1
256,786,1
209,643,1
209,760,1
209,739,1
209,573,1
209,296,1
156,556,1
156,690,1
51,691,1
51,474,1
257,787,1
257,392,1
89,496,1
31,703,1
97,714,1
24,450,1
270,785,1
174,753,1
58,366,1
58,339,1
58,551,1
58,750,1
58,428,1
58,377,1
132,671,1
105,429,1
53,290,1
53,341,1
53,446,1
53,763,1
117,534,1
280,564,1
280,457,1
280,583,1
280,792,1
280,448,1
280,749,1
5,421,1
96,504,1
81,307,1
139,548,1
121,339,1
27,771,1
27,721,1
83,711,1
216,538,1
140,547,1
211,549,1
248,680,1
64,551,1
45,749,1
45,771,1
45,596,1
56,636,1
47,574,1
47,580,1
47,410,1
47,683,1
47,481,1
47,388,1
47,367,1
47,480,1
47,435,1
47,576,1
47,699,1
220,513,1
254,305,1
263,289,1
119,489,1
89,307,1
95,289,1
32,626,1
39,768,1
39,602,1
279,309,1
113,327,1
159,595,1
78,650,1
78,725,1
78,432,1
78,465,1
203,749,1
239,763,1
239,618,1
239,341,1
209,577,1
209,770,1
209,618,1
209,471,1
156,712,1
156,578,1
156,292,1
25,771,1
257,432,1
257,612,1
120,676,1
151,399,1
97,659,1
74,347,1
124,341,1
42,742,1
58,695,1
58,297,1
58,405,1
58,769,1
58,651,1
58,667,1
105,382,1
105,345,1
105,315,1
105,423,1
105,634,1
105,679,1
105,461,1
105,553,1
105,498,1
53,717,1
280,395,1
280,671,1
280,435,1
280,325,1
280,305,1
