node1,node2
188,389
188,631
188,666
237,405
237,745
237,690
209,499
281,294
123,337
78,429
116,431
262,750
262,292
262,428
262,626
262,400
262,686
262,617
231,750
231,292
231,428
231,626
231,400
231,686
231,617
189,581
189,512
276,512
276,780
188,439
188,780
188,708
208,483
208,529
208,774
208,525
208,759
58,598
209,654
54,303
223,303
179,303
79,694
79,682
79,591
79,753
215,474
215,451
215,382
215,289
215,467
215,583
39,429
276,386
276,382
209,537
53,476
105,598
58,495
99,675
209,556
47,622
280,763
47,787
58,701
58,771
58,289
78,751
45,449
56,398
121,660
121,780
105,619
64,449
58,629
58,749
47,289
105,760
209,460
45,469
105,292
29,765
29,448
29,544
29,382
29,483
29,531
29,407
29,474
39,305
83,387
186,570
199,379
45,456
58,382
280,440
7,640
80,359
105,341
58,305
58,556
104,304
58,599
47,295
205,284
205,431
209,763
78,779
257,527
254,462
254,753
254,742
254,290
254,308
55,657
55,767
58,537
45,598
45,339
58,423
165,465
122,580
58,511
59,476
209,410
140,307
78,608
78,494
78,426
78,483
78,516
268,781
58,742
17,503
58,580
200,527
169,527
58,781
53,741
105,391
209,341
58,694
224,297
58,467
0,483
58,622
209,724
58,777
258,763
133,375
173,375
280,535
105,485
280,575
209,290
209,453
209,379
239,413
198,766
198,598
198,366
29,766
29,598
29,366
37,347
78,762
105,642
209,337
45,722
45,547
209,680
45,357
45,519
10,551
47,785
56,734
45,686
45,617
45,618
45,428
45,626
45,400
45,498
277,686
277,617
277,618
277,292
277,293
277,428
277,626
277,519
277,400
277,498
240,442
240,313
249,345
280,401
58,439
47,374
143,527
267,295
267,372
28,513
174,742
174,338
174,574
95,790
176,527
39,642
39,572
39,751
39,455
39,423
222,647
222,427
222,409
222,385
222,580
222,577
222,456
222,747
222,583
222,463
222,674
113,679
113,379
30,772
159,297
192,728
78,472
78,699
256,786
209,493
209,643
209,760
209,701
209,743
209,739
209,573
209,296
156,654
156,556
156,690
51,691
51,474
257,787
257,392
257,506
89,496
31,703
97,714
24,441
24,450
270,785
174,462
174,753
42,781
58,366
58,339
58,551
58,750
58,428
58,617
58,377
114,781
132,671
105,429
53,290
53,341
53,446
53,763
117,534
280,793
280,564
280,457
280,583
280,792
280,448
280,749
280,588
5,421
96,504
81,307
266,665
139,548
121,339
55,794
55,451
27,771
27,721
83,711
216,538
140,547
211,549
248,680
248,610
64,551
45,749
45,771
45,614
45,596
56,636
47,574
47,580
47,410
47,683
47,481
47,388
47,367
47,480
47,435
47,798
47,576
47,699
220,513
254,305
263,289
119,489
89,307
95,289
32,626
39,768
39,602
279,309
222,620
113,327
159,595
78,650
78,725
78,432
78,465
203,749
239,763
239,618
239,341
209,577
209,770
209,592
209,618
209,471
156,712
156,578
156,292
51,445
25,771
257,432
257,612
120,676
151,399
97,659
74,347
124,341
174,605
42,742
58,695
58,297
58,405
58,390
58,769
58,651
58,485
58,587
58,667
105,382
105,345
105,315
105,423
105,634
105,679
105,461
105,553
105,498
53,717
280,395
280,671
280,435
280,325
280,305
280,506
280,566
280,653
280,577
280,481
280,537
280,695
280,645
207,448
48,297
210,622
118,304
127,456
199,622
121,771
121,738
121,695
121,587
121,301
55,587
55,606
55,314
27,382
83,538
9,360
140,513
228,771
29,414
29,374
248,465
248,439
248,781
64,462
196,640
45,603
45,353
45,474
45,371
56,739
47,419
47,382
47,795
47,297
47,587
47,687
47,512
147,429
147,488
119,476
119,713
119,741
119,753
119,742
232,749
136,800
136,554
271,729
125,451
125,341
209,773
95,598
39,480
78,285
239,616
209,738
209,574
280,341
280,289
280,286
280,525
280,520
280,661
90,734
105,783
45,512
45,726
45,500
47,664
47,684
47,331
47,771
47,392
209,298
209,543
209,435
209,432
209,549
209,429
209,725
102,366
257,677
257,600
257,517
282,517
20,366
264,366
58,448
58,400
58,410
257,287
255,299
58,541
58,792
58,432
105,594
105,386
105,290
105,591
105,337
105,519
105,369
217,635
38,644
236,438
83,729
83,787
129,399
140,519
148,695
280,357
58,538
43,339
45,558
183,788
64,411
267,360
105,441
27,765
209,580
207,701
239,383
248,364
196,688
181,304
260,528
9,395
222,336
83,457
121,357
78,757
105,314
280,798
193,741
135,459
172,378
207,320
207,794
260,621
260,607
260,609
260,689
260,430
260,397
260,384
260,508
238,588
238,457
238,458
238,486
238,649
69,552
207,609
207,707
207,515
207,373
144,612
144,347
260,515
157,714
57,619
45,791
209,578
209,769
105,719
105,357
105,526
280,511
86,459
222,341
222,442
222,451
156,553
120,549
247,495
267,697
18,742
58,690
121,698
106,783
53,399
53,642
113,370
27,392
47,638
83,746
184,305
47,353
51,728
260,442
209,785
51,528
82,322
45,406
86,453
259,773
64,756
132,729
241,496
3,701
39,357
207,538
86,357
239,777
78,721
121,701
280,348
9,648
190,316
121,604
280,468
153,429
166,310
280,629
80,454
96,518
57,361
33,637
106,717
72,512
238,584
238,371
280,495
47,769
103,291
154,447
233,749
196,442
84,470
105,759
249,727
39,364
180,526
5,715
242,491
88,329
280,737
226,536
229,366
105,670
64,336
134,355
119,798
53,641
119,563
45,790
280,353
178,330
199,738
180,514
47,343
201,475
51,729
45,368
197,363
153,424
151,577
225,560
64,776
222,582
45,583
73,420
108,752
58,573
3,324
3,672
218,773
45,592
47,335
45,613
280,475
21,714
207,465
34,458
48,705
280,679
216,456
78,312
45,594
280,530
280,340
78,498
245,303
48,652
257,597
121,715
207,434
125,778
91,627
280,360
83,539
280,606
35,339
45,566
202,688
21,418
9,346
45,479
159,499
244,487
45,436
55,542
105,683
62,493
53,288
195,637
105,505
78,796
27,457
167,416
58,509
78,556
22,497
272,311
33,522
119,351
121,646
27,601
209,626
100,292
60,360
282,317
27,316
253,399
78,709
58,799
78,302
61,376
58,523
132,567
280,574
4,587
160,402
280,363
121,415
280,794
55,695
47,499
280,344
209,545
44,640
58,590
110,594
62,361
175,594
141,501
109,685
157,288
58,555
130,748
207,733
83,605
158,701
190,342
78,434
177,561
101,507
36,678
105,559
105,344
53,580
207,352
201,738
204,784
55,703
59,771
121,469
210,354
46,679
152,374
105,605
172,539
248,518
80,478
168,738
51,437
184,695
40,484
78,627
64,434
271,513
116,744
58,466
55,381
45,756
86,396
137,702
121,379
280,717
219,350
111,683
172,314
253,485
203,732
51,372
121,417
238,399
250,561
196,303
269,413
138,324
150,501
212,580
51,501
45,422
280,304
83,618
151,442
254,459
159,656
239,421
101,513
246,380
280,611
105,339
170,761
170,747
170,322
211,332
2,624
77,587
128,473
145,640
206,516
51,321
9,477
121,794
116,360
222,475
177,476
83,571
126,339
105,769
58,639
58,744
75,669
222,565
182,559
271,681
261,697
125,392
172,589
172,715
15,712
13,398
194,403
283,463
57,612
177,412
177,579
76,655
63,506
63,612
70,314
153,300
58,735
274,362
278,294
251,467
280,664
280,425
280,593
280,605
280,364
115,502
207,736
235,740
221,406
252,785
93,419
27,580
6,798
211,637
35,660
98,645
45,585
45,394
45,780
47,475
171,510
265,613
59,482
280,501
254,456
47,323
47,577
45,746
196,506
196,782
88,363
88,704
64,433
9,644
83,318
83,434
27,630
85,669
85,495
162,446
162,639
213,462
207,319
207,556
207,749
207,356
65,617
280,390
280,724
280,476
280,333
280,334
280,764
146,393
19,710
273,353
224,775
105,789
132,353
58,452
58,720
21,294
131,348
11,706
94,625
71,755
141,540
49,716
163,394
92,769
51,635
51,573
51,311
193,521
193,444
191,365
172,361
172,520
238,352
222,660
222,673
222,339
275,285
218,619
218,326
1,733
8,644
26,333
185,562
12,635
3,790
187,546
66,619
95,583
176,633
176,628
112,629
39,411
39,756
106,561
106,718
106,314
14,629
275,415
222,754
222,650
182,314
113,318
238,308
238,760
50,358
184,459
243,306
172,658
172,568
30,371
159,513
161,359
78,490
78,492
78,795
78,763
227,322
41,432
23,615
209,749
52,789
67,324
156,507
244,416
244,788
244,586
51,533
51,582
51,495
51,580
51,669
181,557
181,696
181,663
180,632
180,662
175,375
157,660
282,692
282,650
120,324
164,434
164,579
151,352
151,476
149,349
234,748
74,296
74,794
57,464
57,404
57,500
86,340
86,370
142,693
214,577
214,730
80,777
80,378
16,580
16,532
141,347
155,497
107,717
87,749
94,328
84,319
153,623
68,587
42,731
42,715
58,645
58,671
58,399
58,475
58,605
58,561
58,758
58,785
58,616
58,679
58,374
58,308
58,322
58,700
58,569
58,411
132,668
105,405
105,443
105,797
105,800
105,749
105,612
105,596
62,320
53,723
53,687
53,712
53,737
53,355
53,550
53,524
53,578
230,408
