node1,node2
70,472
70,473
94,473
70,474
241,474
324,474
404,474
27,475
79,475
322,475
324,475
343,475
380,475
395,475
444,475
70,476
395,476
430,476
70,477
165,477
449,478
70,479
214,479
260,479
308,479
355,479
11,480
70,480
78,480
395,480
70,481
241,481
324,481
404,481
70,482
70,483
443,483
70,484
78,484
324,484
404,484
70,485
380,485
404,485
449,485
470,485
61,486
68,486
70,486
78,486
444,486
463,486
1,487
70,487
214,487
70,488
241,488
343,488
70,489
241,489
343,489
1,490
70,490
144,490
184,490
70,491
147,491
214,491
291,491
1,492
27,492
70,492
260,492
68,493
70,493
144,493
343,493
395,493
443,493
70,494
443,494
70,495
149,495
322,495
27,496
70,496
79,496
199,496
369,496
70,497
68,498
70,498
70,499
78,499
79,499
86,499
70,500
124,500
144,500
147,500
149,500
395,500
443,500
444,500
70,501
241,501
343,501
70,502
260,502
1,503
68,503
70,503
260,503
355,503
443,503
444,503
260,504
79,505
308,505
70,506
214,506
260,506
308,506
355,506
1,507
70,507
214,507
27,508
70,508
79,508
199,508
369,508
70,509
404,509
443,509
147,510
1,511
39,511
68,511
70,511
27,512
149,512
297,512
470,512
70,513
241,513
343,513
144,514
78,515
149,515
192,515
70,516
343,516
70,517
297,517
324,517
380,517
395,517
449,518
70,519
260,519
380,519
404,519
70,520
1,521
70,521
322,521
395,521
1,522
70,522
124,522
149,522
374,522
343,523
70,524
70,525
144,525
322,525
70,526
124,526
144,526
147,526
149,526
395,526
443,526
444,526
70,527
241,527
324,527
404,527
1,528
68,528
70,528
260,528
355,528
443,528
444,528
27,529
70,529
79,529
199,529
369,529
70,531
124,531
144,531
147,531
149,531
395,531
443,531
444,531
1,532
39,532
68,532
70,532
70,533
260,533
404,533
1,534
70,534
214,534
70,535
70,536
241,536
324,536
404,536
78,537
369,537
468,537
70,539
241,539
343,539
70,540
144,540
322,540
70,541
78,541
241,541
260,541
70,542
70,543
78,543
1,544
70,544
124,544
149,544
374,544
1,545
70,545
260,545
324,545
343,545
70,546
27,547
39,547
94,547
324,547
468,547
70,548
213,548
380,548
470,548
271,549
430,549
70,550
70,551
1,552
39,552
68,552
70,552
70,555
184,555
260,555
68,556
70,556
199,556
404,556
444,556
70,557
214,557
1,558
68,558
70,558
260,558
355,558
443,558
444,558
70,559
343,559
78,561
149,561
192,561
1,562
241,562
70,563
395,563
430,563
70,564
39,565
444,565
470,565
70,566
449,566
68,568
444,568
27,569
149,569
297,569
470,569
70,570
214,570
260,570
308,570
355,570
1,571
70,571
260,571
324,571
343,571
70,572
147,572
214,572
291,572
322,573
70,574
70,575
78,575
70,576
70,577
241,577
343,577
1,578
70,578
260,578
324,578
343,578
1,579
94,579
144,579
70,580
322,580
395,580
70,581
39,582
68,582
70,582
324,582
70,583
144,583
444,583
70,584
214,584
260,584
308,584
355,584
404,585
70,586
443,586
1,587
27,587
70,587
260,587
70,588
27,590
70,590
79,590
199,590
369,590
70,591
444,591
27,592
39,592
94,592
324,592
468,592
322,593
430,594
463,594
70,595
404,595
70,596
241,596
324,596
404,596
1,597
70,597
260,597
324,597
343,597
1,598
70,598
308,598
70,599
241,599
343,599
449,600
271,601
430,601
70,602
214,602
68,603
70,603
260,603
27,604
70,604
79,604
199,604
369,604
149,605
322,605
463,605
70,606
241,606
404,606
70,607
214,607
260,607
308,607
355,607
1,608
27,608
70,608
260,608
70,609
241,609
324,609
404,609
70,610
154,610
291,610
78,611
149,611
192,611
1,612
68,612
70,612
260,612
355,612
443,612
444,612
70,613
78,614
149,614
192,614
70,615
260,615
303,615
430,616
463,616
430,617
463,617
68,618
144,618
70,619
430,620
463,620
70,621
214,621
260,621
308,621
355,621
70,622
241,622
324,622
404,622
27,623
70,623
404,623
94,624
184,624
343,624
70,625
214,625
260,625
308,625
355,625
70,626
124,626
144,626
147,626
149,626
395,626
443,626
444,626
1,627
70,627
308,627
324,627
343,627
374,627
70,628
241,628
70,629
79,629
144,629
70,630
380,630
404,630
449,630
470,630
70,631
1,632
70,632
144,632
184,632
70,633
154,633
291,633
430,634
463,634
70,635
79,635
260,635
70,636
70,637
78,637
79,637
86,637
70,638
443,638
27,639
70,639
404,639
449,639
68,640
444,640
70,641
70,642
70,643
70,644
70,645
1,646
68,646
70,646
70,647
70,648
380,648
404,648
449,648
470,648
70,649
214,649
260,649
308,649
355,649
142,650
449,650
70,651
154,651
291,651
70,652
241,652
343,652
1,653
68,653
70,653
260,653
355,653
443,653
444,653
70,654
241,654
343,654
430,655
463,655
68,656
144,656
70,657
324,657
70,658
147,658
214,658
291,658
