index,rna
0,RSU1P2
1,AFF4
2,CBR3-AS1
3,ACTA2-AS1
4,OXCT1-AS1
5,NR2F1-AS1
6,SNHG4
7,ENST00000535511
8,A1BG-AS1
9,SNHG3
10,PIK3C2A
11,LINC01518
12,AC068039.4
13,LINC00284
14,CUL2
15,LINC00263
16,LINC00887
17,LINC00161
18,LINC02582
19,MIR205HG
20,LINC00969
21,MAFG-AS1
22,USP30-AS1
23,HIPK3
24,LINC01016
25,LET
26,A2M-AS1
27,SNHG14
28,ADPGK-AS1
29,STARD13
30,FLVCR1-AS1
31,LINC00483
32,CAMTA1
33,GSEC
34,IGFL2-AS1
35,ST8SIA6-AS1
36,MAPKAPK5-AS1
37,FER1L4
38,DSCR8
39,CASC2
40,GHRLOS
41,GATA6-AS
42,LUCAT1
43,CEP128
44,THAP9-AS1
45,TUG1
46,TRERNA1
47,UCA1
48,PART1
49,LINC00908
50,DLG1-AS1
51,KCNQ1OT1
52,HOXB-AS1
53,MIAT
54,IGF1R
55,SNHG12
56,TUSC7
57,LINC00662
58,MALAT1
59,ZNF609
60,LBX1-AS1
61,LINC00470
62,MEG8
63,LINC01564
64,TP73-AS1
65,NR2F2-AS1
66,ARFRP1
67,HOXB-AS3
68,LUADT1
69,SH3BP5-AS1
70,LIPE-AS1
71,LINC01132
72,ZNF281
73,EIF3J-AS1
74,LINC00657
75,LINC00960
76,LINC00936
77,LINC00461
78,GAS5
79,ZEB2
80,LINC00858
81,RP11-396F22.1
82,H1FX-AS1
83,SNHG16
84,LINC02418
85,RP11-89K21.1
86,LINC00665
87,LINC01305
88,TPT1-AS1
89,LINC00319
90,RP11-838N2.4
91,TMEM161B-AS1
92,LINC00184
93,SNHG11
94,LINC01503
95,BANCR
96,PWRN1
97,LINC00511
98,TRHDE-AS1
99,LINC00668
100,IRAK4
101,LINC00941
102,KLKP1
103,STAT3
104,TFF3
105,MEG3
106,CTBP1-AS2
107,LINC01189
108,LRRC75A-AS1
109,LINC01816
110,HOXA10
111,LINC00943
112,C3orf35
113,DGCR5
114,MAP3K20
115,NOP14-AS1
116,CHRF
117,n335586
118,PRINS
119,ZFAS1
120,LINC00339
121,SNHG1
122,RMRP
123,DNMT1
124,LINC0086
125,DNM3OS
126,NKX2-1-AS1
127,RP11-436H11.5
128,LINC00885
129,SBF2-AS1
130,LINC00504
131,LINC02086
132,MCM3AP-AS1
133,MYLK
134,LINC00210
135,LINC01705
136,CTBP
137,ARAP1-AS1
138,FAM230B
139,SMARCC2
140,SNHG5
141,LINC00958
142,LINC00667
143,PDGF
144,TTC28-AS1
145,KCNQ1
146,NALCN
147,USP16
148,AP000695.4
149,LINC00466
150,EGOT
151,LINC00460
152,MYCNOS
153,LOXL1-AS1
154,LEMD1-AS1
155,LINC01128
156,HOXD-AS1
157,LINC00173
158,HAND2-AS1
159,FOXD2-AS1
160,LINC01929
161,GACAT1
162,RBM5-AS1
163,LINC00467
164,LINC00346
165,KDM4A
166,LINC00301
167,LINC02288
168,SNHG9
169,RAX
170,APCDD1L-AS1
171,VIM-AS1
172,FGD5-AS1
173,CTDP1
174,ATB
175,LIFR-AS1
176,BCYRN1
177,LINC00857
178,LINC01541
179,RAP1B
180,LEF1-AS1
181,LBX2-AS1
182,DDX11-AS1
183,BDNF-AS
184,DSCAM-AS1
185,AC007271.3
186,HNRNPK
187,ADAMTS9-AS1
188,FN1
189,PTEN
190,SNHG17
191,GATA6-AS1
192,GACAT3
193,IGF2-AS
194,LINC00488
195,ABCB10
196,TTN-AS1
197,LINC00491
198,HOXD1
199,RPPH1
200,CTU1
201,PCAT6
202,PCED1B-AS1
203,HIF1A-AS2
204,SLC2A1-AS1
205,MHENCR
206,CCR7
207,OIP5-AS1
208,HMGA2
209,HOTAIR
210,PCAT1
211,SNHG8
212,WT1-AS
213,PINK1-AS
